FIPS,COUNT,TOT_POP,CAPITA
28111,18,12086,0.0014893265
28009,13,8730,0.001489118
1027,20,13435,0.0014886491
19111,53,35617,0.0014880535
22027,25,16828,0.0014856192
1061,40,26931,0.0014852772
39105,35,23593,0.0014834909
35037,13,8769,0.0014824952
21189,7,4722,0.0014824227
48337,29,19565,0.0014822387
28141,29,19591,0.0014802716
36121,62,41892,0.0014799962
38077,24,16217,0.0014799285
19055,26,17574,0.0014794583
13251,21,14202,0.001478665
17169,11,7457,0.001475124
17105,57,38647,0.0014748881
42051,200,135660,0.0014742739
17021,51,34638,0.0014723714
29215,38,25810,0.0014722976
42013,187,127121,0.0014710394
48107,9,6126,0.0014691479
21057,10,6819,0.0014664907
31095,11,7521,0.0014625715
48313,20,13677,0.001462309
16023,4,2740,0.001459854
30071,6,4128,0.0014534884
27159,20,13767,0.0014527493
28161,18,12401,0.0014514958
20147,8,5519,0.001449538
51077,22,15183,0.001448989
54073,11,7595,0.0014483213
47015,20,13811,0.0014481211
18131,19,13124,0.0014477294
48237,13,8983,0.001447178
55077,22,15205,0.0014468925
48177,29,20045,0.0014467448
54013,11,7607,0.0014460365
21135,20,13835,0.001445609
42067,36,24904,0.0014455509
48255,22,15233,0.0014442329
49041,30,20784,0.001443418
18015,29,20095,0.0014431451
28055,2,1386,0.0014430014
18167,156,108428,0.0014387428
17189,21,14598,0.0014385532
39029,153,106507,0.0014365253
23007,44,30630,0.0014365002
21103,22,15318,0.0014362188
50025,63,43985,0.0014323065
13307,4,2793,0.0014321518
49027,18,12569,0.0014320948
50013,10,6983,0.0014320493
55043,73,51087,0.001428935
40127,16,11205,0.001427934
39069,40,28045,0.0014262792
30107,3,2104,0.0014258555
18111,20,14044,0.0014240957
17159,23,16176,0.0014218595
51790,34,23921,0.0014213453
19095,23,16189,0.0014207178
18177,97,68346,0.0014192491
42111,109,76957,0.0014163754
17129,18,12722,0.0014148719
35021,1,707,0.0014144272
19179,50,35366,0.0014137873
47159,27,19102,0.0014134646
39171,53,37513,0.0014128435
23009,77,54558,0.0014113421
39001,40,28350,0.0014109347
31137,13,9215,0.0014107434
29001,36,25581,0.0014072945
19093,10,7108,0.0014068655
5087,22,15645,0.0014062001
24001,104,74012,0.0014051775
39123,58,41339,0.0014030335
17165,35,24946,0.0014030305
48017,10,7130,0.0014025245
37009,38,27097,0.0014023693
22127,21,15000,0.0014
22021,14,10004,0.0013994402
18053,97,69330,0.0013991057
39167,86,61475,0.0013989427
30091,5,3580,0.001396648
48437,11,7891,0.0013939932
19011,36,25827,0.0013938901
31155,29,20823,0.0013926908
55071,112,80671,0.0013883552
55123,42,30260,0.0013879709
8011,8,5773,0.0013857613
39135,58,41886,0.0013847109
19029,19,13723,0.0013845369
40023,21,15182,0.001383217
39033,59,42849,0.0013769283
29039,19,13799,0.0013769114
48149,34,24695,0.0013767969
29089,14,10169,0.0013767332
31091,1,727,0.0013755158
36025,65,47276,0.0013749048
31151,20,14557,0.0013739095
21207,24,17497,0.0013716637
42061,63,45943,0.0013712644
47039,16,11673,0.0013706845
21161,24,17512,0.0013704888
18103,50,36486,0.0013703886
21191,20,14604,0.0013694878
27167,9,6585,0.0013667426
20119,6,4396,0.0013648772
5067,24,17600,0.0013636364
18007,12,8804,0.0013630168
17051,30,22014,0.0013627691
36101,135,99063,0.0013627691
